iter	Passed	Remaining
755	862	278
756	866	278
757	867	276
758	869	276
759	870	274
760	871	273
761	871	272
762	872	271
763	873	269
764	874	268
765	874	267
766	875	266
767	876	264
768	877	263
769	880	262
770	881	261
771	882	260
772	883	259
773	884	258
774	885	256
775	885	255
776	886	254
777	887	253
778	887	251
779	888	250
780	889	249
781	890	248
782	890	246
783	891	245
784	892	244
785	894	243
786	896	242
787	897	241
788	897	240
789	898	238
790	899	237
791	900	236
792	900	235
793	901	233
794	902	232
795	903	231
796	903	230
797	904	229
798	905	227
799	908	227
800	909	225
801	911	224
802	911	223
803	912	222
804	913	221
805	914	220
806	914	218
807	915	217
808	916	216
809	917	215
810	918	214
811	919	212
812	919	211
813	920	210
814	924	209
815	926	208
816	927	207
817	928	206
818	929	205
819	930	204
820	930	202
821	931	201
822	932	200
823	933	199
824	933	198
825	934	196
826	936	195
827	938	194
828	940	193
829	940	192
830	941	191
831	942	190
832	943	189
833	943	187
834	944	186
835	945	185
836	946	184
837	946	183
838	947	181
839	948	180
840	949	179
841	951	178
842	953	177
843	954	176
844	955	175
845	955	174
846	956	172
847	957	171
848	958	170
849	958	169
850	959	168
851	960	166
852	961	165
853	961	164
854	962	163
855	963	162
856	966	161
857	968	160
858	969	159
859	970	157
860	970	156
861	971	155
862	972	154
863	973	153
864	973	151
865	974	150
866	975	149
867	975	148
868	976	147
869	977	146
870	978	144
871	981	144
872	983	143
873	984	141
874	985	140
875	986	139
876	986	138
877	987	137
878	988	136
879	989	134
880	990	133
881	990	132
882	991	131
883	992	130
884	992	129
885	995	128
886	998	127
887	998	125
888	999	124
889	1000	123
890	1001	122
891	1001	121
892	1002	120
893	1003	118
894	1004	117
895	1004	116
896	1005	115
897	1006	114
898	1006	113
899	1007	111
900	1011	111
901	1012	109
902	1013	108
903	1014	107
904	1015	106
905	1015	105
906	1016	104
907	1017	103
908	1018	101
909	1018	100
910	1019	99
911	1020	98
912	1021	97
913	1021	96
914	1023	95
915	1025	94
916	1027	93
917	1028	91
918	1029	90
919	1029	89
920	1030	88
921	1031	87
922	1032	86
923	1032	84
924	1033	83
925	1034	82
926	1035	81
927	1035	80
928	1036	79
929	1040	78
930	1041	77
931	1042	76
932	1043	74
933	1044	73
934	1045	72
935	1045	71
936	1046	70
937	1047	69
938	1048	68
939	1048	66
940	1049	65
941	1050	64
942	1051	63
943	1054	62
944	1055	61
945	1057	60
946	1057	59
947	1058	58
948	1059	56
949	1060	55
950	1060	54
951	1061	53
952	1062	52
953	1062	51
954	1063	50
955	1064	48
956	1065	47
957	1068	46
958	1069	45
959	1071	44
960	1072	43
961	1073	42
962	1073	41
963	1074	40
964	1075	38
965	1075	37
966	1076	36
967	1077	35
968	1078	34
969	1079	33
970	1079	32
971	1083	31
972	1084	30
973	1085	28
974	1086	27
975	1087	26
976	1087	25
977	1088	24
978	1089	23
979	1090	22
980	1090	21
981	1091	20
982	1092	18
983	1093	17
984	1094	16
985	1095	15
986	1097	14
987	1100	13
988	1101	12
989	1102	11
990	1103	10
991	1104	8
992	1105	7
993	1105	6
994	1106	5
995	1107	4
996	1108	3
997	1109	2
998	1112	1
999	1114	0
